Document ID,Total Links,Link,Download Path,Status,Code
Document ID,Total Links,Link,Download Path,Status,Code
Again,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
"- Evelyn Och""",0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0180,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0181,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0182,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0183,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0184,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0185,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0186,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0187,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0188,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0189,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0190,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0191,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0192,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0193,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0194,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0195,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0196,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0197,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0198,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0199,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0200,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0201,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0202,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0203,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0204,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0205,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0206,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0207,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0208,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0209,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0210,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0211,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0212,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0213,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0214,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0215,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0216,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0217,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0218,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0219,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0220,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0221,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0222,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0223,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0224,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0225,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0226,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0227,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0228,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0229,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0230,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0231,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0232,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0233,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0234,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0235,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0236,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0237,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0238,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0239,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0240,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0241,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0242,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0243,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0244,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0245,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0246,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0247,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0248,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0249,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0250,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0251,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0252,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0253,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0254,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
FTC-2022-0053-0255,0,1,downloads/FTC-2022-0053-0164_2.pdf,Skipped,200
